id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
35639,JGAMES,Janmansh and Games,772,37290,24960,23101,0,14030,"14031,14032,14033,14034",COOK139
39372,BOOKPACK,Packing Books,775,40759,23412,20920,1,20345,"20648,20649,20650,20651",START63
9802,LUCKFOUR,Lucky Four,775,235577,186116,161969,3585,1837,[1837],LTIME21
38006,BUYLAMP,Buy Lamps,775,31197,23426,21820,0,16921,"17655,17656,17657,17658",START48
10889,FLOW008,Helping Chef,776,149510,86174,78848,0,-1,[-1],
11867,CHN15A,Mutated Minions,777,86845,54913,47421,0,-1,[-1],
41337,SINGLEUSE,Single-use Attack,777,25678,20073,19078,0,22096,"22352,22353,22354,22355",START80
39824,REACHFAST,Reach fast,777,26978,19397,17756,0,21451,"21452,21453,21454,21455",DEC221
35458,SALE,Get Lowest Free,778,35490,22291,20381,0,13740,"13741,13742,13743,13865",START27
37772,MINFLIPS,Minimum number of Flips,781,38132,19841,18399,0,16184,"17362,17363,17364,17365",START42
39659,BIN_BAT,Binary Battles,786,30618,25609,23129,0,20348,"21398,21399,21400,21401",START66
40191,INDIVISIBLE,Indivisible,787,34154,24690,22202,1,21611,"21615,21616,21617,21618",START72
36030,ECOCLASS,Economics Class,787,28003,21917,19394,0,14035,"14036,14037,14038,14039",START31
32333,RCBPLAY,RCB and Playoffs,788,64487,51254,46523,0,12418,"12419,12420,12421",START14
4607,TLG,The Lead Game,790,354830,97095,83998,0,-1,[-1],
37601,RECENTCONT,Recent contest problems,793,50400,39913,36238,0,16181,"16809,16810,16811,16812",START39
37624,DPOLY,Degree of Polynomial,793,47247,33011,29200,0,16189,"16818,16819,16820,16821",MAY222
10913,PRB01,Primality Test,794,179782,69568,59832,0,-1,[-1],
36997,WATERCOOLER2,The Cooler Dilemma 2,798,85270,27836,25060,0,14290,"14291,14292,14293,14294",APRIL221
39965,KITCHENCOST,Cost of Groceries,799,31318,25399,22319,0,21433,"21443,21444,21445,21446",START70
39040,CUTPAPER,Paper Cutting,800,42763,33013,29524,0,19308,"20255,20256,20257,20258",START60
37809,DNASTORAGE,DNA Storage,801,26931,20221,18930,0,16185,"17374,17375,17376,17377",START43
31101,LAZYCHF,Lazy Chef,801,66835,53689,48914,0,11060,"11904,11905,11906",START4
31948,HARDBET,Hardest Problem Bet,803,45578,36575,33956,1,11066,"12300,12301,12302",START10
35801,WORDLE,Wordle,804,65268,50199,44839,0,14010,"14011,14012,14013,14014",MARCH221
32172,TYRES,Cars and Bikes,809,41385,35388,31447,0,12371,"12372,12373,12374",COOK133
35474,CREDITS,Complete the credits,809,28660,22545,20610,0,13580,"13581,13582,13583,13866",COOK138
35476,BOTTOM,Guess the bottom face,815,20594,18912,17376,0,13580,"13581,13582,13583,13866",COOK138
id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
39416,BROKENSTRING,Mario and the Broken String,816,40261,29928,26945,0,20346,"20693,20694,20695,20696",START64
38123,NEARESTCOURT,Nearest Court,819,35300,30032,27443,0,17579,"18663,18664,18665,18666",START50
35188,FRUITCHAAT,Chef and His Fruit Stand,822,33085,24562,22818,0,13576,"13577,13578,13579",START25
10892,FLOW011,Gross Salary,823,87359,47509,43896,0,-1,[-1],
37263,EQLZING,Equalizing Numbers,823,43406,26608,24095,0,17585,"18746,18747,18748,18749",LTIME111
32273,SUPCHEF,The Preparations,823,40691,34778,32223,0,12414,"12415,12416,12417",START13
33504,GENE01,Genes,826,42207,24854,22642,0,12815,"12825,12826,12827",START20
7680,SNAPE,Snape and Ladder,828,31131,20859,19200,0,1364,[1364],COOK45
10916,PALL01,The Block Game,830,115833,73673,67058,0,-1,[-1],
38121,MILEAGE,Mileage matters,831,59157,24417,21754,0,17579,"18663,18664,18665,18666",START50
31422,EITA,Maximum Production,833,41263,32699,30556,0,12091,"12092,12093,12094",JULY21
32181,GOODWEAT,Good Weather,835,42691,32224,29841,0,12410,"12411,12412,12413",START12
10895,FLOW014,Grade The Steel,838,71287,40522,38016,0,-1,[-1],
41676,OPMIN,MIN To MAX,838,35529,22031,20957,0,22094,"22499,22500,22501,22502",START82
37572,LOOP,Circular Track,838,51818,23466,21461,0,16180,"16760,16761,16762,16763",START38
